date,site_reference,site_description,region_name,heavy_count,light_count,total_count,congestion_index,iso_week,pack_week,season_phase
2021-04-16,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2190.5,23092.5,25283.0,100.0,15,15,MainPack
2021-04-16,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1010.5,5699.5,6710.0,99.22,15,15,MainPack
2021-04-17,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,998.0,11245.0,12243.0,100.0,15,15,MainPack
2021-04-17,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1058.0,19294.0,20352.0,100.0,15,15,MainPack
2021-04-17,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,698.5,6132.5,6831.0,93.5,15,15,MainPack
2021-04-17,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,662.5,9266.5,9929.0,100.0,15,15,MainPack
2021-04-17,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,846.5,17224.5,18071.0,100.0,15,15,MainPack
2021-04-17,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,438.5,5132.5,5571.0,73.27,15,15,MainPack
2021-04-17,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,792.5,17125.5,17918.0,100.0,15,15,MainPack
2021-04-17,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,451.5,4822.5,5274.0,70.19,15,15,MainPack
2021-04-18,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,803.5,11090.5,11894.0,100.0,15,15,MainPack
2021-04-18,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,798.5,17772.5,18571.0,100.0,15,15,MainPack
2021-04-18,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,631.0,7005.0,7636.0,100.0,15,15,MainPack
2021-04-18,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,473.5,8105.5,8579.0,100.0,15,15,MainPack
2021-04-18,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,579.0,14121.0,14700.0,100.0,15,15,MainPack
2021-04-18,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,359.5,4964.5,5324.0,68.67,15,15,MainPack
